week,index_level,max_52,ML,mean_52,std_52,mean-2.5*std,CC
393,3556.99,5335.12,0.6667122763874102,0.8734481216409938,0.16801406058363363,0.6214270307655434,0
394,3677.59,5335.12,0.6893172037367482,0.8653612067281059,0.16764227043257438,0.6138978010792444,0
395,3608.06,5335.12,0.6762846946272999,0.8572225437102923,0.16566895471176213,0.6087191116426491,0
396,3767.91,5335.12,0.706246532411642,0.8505766807260315,0.1658660859931756,0.6017775517362681,0
397,3838.2,5335.12,0.7194214937995771,0.8437836891993233,0.16436924461805955,0.5972298222722341,0
398,3731.0,5335.12,0.6993282250446101,0.8380317170228978,0.16336480354113164,0.5929845117112004,0
399,3361.56,5335.12,0.6300814227233876,0.8317591768618058,0.1622838995895311,0.5883333274775091,0
400,3118.73,5335.12,0.5845660453747995,0.8245745564720556,0.16279252161115793,0.5803857740553187,0
401,3113.46,5335.12,0.5835782512858193,0.8161059631956877,0.1636173796591492,0.5706798937069639,0
402,2946.09,5335.12,0.5522068856932928,0.8084333588494574,0.16500778994945176,0.5609216739252798,1
403,2963.79,5335.12,0.5555245242843647,0.8008840188080876,0.167607508475034,0.5494727560955366,0
404,3051.59,5335.12,0.5719815111937502,0.7940437285145556,0.17025358254342107,0.538663354699424,0
405,2948.03,5335.12,0.5525705138778509,0.7866871840825512,0.17144396191906888,0.5295212412039478,0
406,3093.89,5335.12,0.5799101051147866,0.7786796672174291,0.17248456070967969,0.5199528261529096,0
407,3018.28,5335.12,0.5657379777774446,0.7709306494465407,0.17218291553044177,0.5126562761508779,0
408,3171.96,5335.12,0.594543327985125,0.7634080649902738,0.17244305489976103,0.5047434826406323,0
409,3197.82,5335.12,0.5993904541978438,0.7557033473705643,0.1708268914986962,0.49946301012252003,0
410,3221.89,5335.12,0.6039020678072845,0.7466375073701903,0.1662232275800681,0.49730266600008816,0
411,3185.73,5335.12,0.5971243383466539,0.7386293072908112,0.16277435761851333,0.4944677708630412,0
412,3272.21,5335.12,0.6133339081407728,0.729918925254304,0.15782571352463473,0.4931803549673519,0
