week,index_level,diff,is_rising,pli,date
370,3622.8831,32.54059999999981,1,0.8,370
371,3666.7977,-2.03020000000015,0,0.6,371
372,3655.9293,-4.167400000000271,0,0.4,372
373,3703.094,16.173499999999876,1,0.6,373
374,3728.5976,-19.28670000000011,0,0.6,374
375,3721.8914,9.696699999999964,1,0.6,375
376,3707.5796,-20.246799999999894,0,0.4,376
377,3647.3503,-68.57049999999981,0,0.4,377
378,3724.6748,3.3977999999997337,1,0.8,378
379,3795.7544,61.108600000000024,1,0.8,379
380,3830.5383,8.445500000000266,1,0.4,380
381,3825.9895,-3.8817999999996573,0,0.4,381
382,3831.2965,1.3411000000000968,1,0.6,382
383,3837.7304,-0.08719999999993888,0,0.4,383
384,3836.5013,13.96270000000004,1,0.8,384
385,3921.0017,8.048099999999977,1,1.0,385
386,3926.852,-4.397500000000036,0,0.2,386
387,4021.9676,28.392399999999725,1,1.0,387
388,3992.6979,-4.436400000000049,0,0.2,388
389,4111.9112,36.01139999999941,1,0.8,389
390,4120.8508,15.838600000000042,1,0.6,390
391,4104.2034,1.806800000000294,1,0.8,391
392,3998.1365,-7.962799999999788,0,0.2,392
393,4003.3792,32.322299999999814,1,0.6,393
394,3980.8558,-45.29580000000033,0,0.4,394
395,4054.5984,-13.250100000000202,0,0.6,395
396,4030.8549,11.957499999999982,1,0.6,396
397,4138.7505,9.938600000000406,1,1.0,397
398,4225.001,19.414700000000266,1,0.8,398
399,4285.395,13.97820000000047,1,0.8,399
400,4381.2996,16.22020000000066,1,0.8,400
401,4271.2326,25.33480000000054,1,0.4,401
402,3840.6527,-171.39449999999988,0,0.2,402
403,3966.9614,31.32900000000018,1,1.0,403
404,4071.0889,18.35570000000007,1,1.0,404
405,4016.461,-32.62530000000015,0,0.4,405
406,4108.8652,31.265100000000075,1,0.8,406
407,4056.4226,-39.740099999999984,0,0.4,407
408,3904.9355,-115.41350000000011,0,0.4,408
409,3898.4977,4.447900000000118,1,0.6,409
410,3854.8625,-7.617099999999937,0,0.0,410
411,3871.1443,-27.491100000000188,0,0.4,411
412,3760.8543,-50.98869999999988,0,0.4,412
413,3756.8765,1.3823999999999614,1,0.6,413
414,3774.5981,-18.402000000000044,0,0.6666666666666666,414
415,3872.8383,-20.21820000000025,0,0.6,415
416,3903.0637,39.013000000000375,1,0.6,416
417,3816.498,-10.719000000000051,0,0.2,417
418,3770.5891,-31.786799999999857,0,0.4,418
419,3779.6159,-51.39690000000019,0,0.4,419
420,3753.4338,-19.93170000000009,0,0.4,420
421,3608.9046,15.9395999999997,1,0.5,421
422,3510.9845,87.45899999999983,1,0.2,422
423,3365.1227,22.684799999999996,1,0.4,423
424,3492.6897,11.633800000000065,1,0.8,424
425,3492.8938,64.55079999999998,1,0.2,425
426,3521.2269,-15.01870000000008,0,0.4,426
427,3315.2839,-55.67399999999998,0,0.2,427
428,3405.0191,7.489300000000185,1,0.6,428
429,3229.6198,-47.107800000000225,0,0.0,429
430,3325.3347,5.308999999999742,1,0.8,430
431,3334.5036,-16.590599999999995,0,0.2,431
432,3277.6438,14.76299999999992,1,0.4,432
433,3242.0902,5.523999999999887,1,0.4,433
434,3410.4856,100.35980000000018,1,0.6,434
435,3438.8649,35.27469999999994,1,0.5,435
436,3170.7262,46.61230000000023,1,0.2,436
437,3134.9455,90.55369999999994,1,0.4,437
438,3173.635,-20.673399999999674,0,0.6,438
439,3290.2455,113.21169999999984,1,0.8,439
440,3167.4442,-45.32950000000028,0,0.0,440
441,3257.6735,15.30199999999968,1,0.8,441
442,3143.4752,-70.95209999999997,0,0.4,442
443,3172.69,35.03580000000011,1,0.4,443
444,3181.5646,-0.10839999999961947,0,0.4,444
445,3165.9109,-53.78150000000005,0,0.6,445
446,3029.3951,-38.021799999999985,0,0.0,446
447,3010.6536,20.147899999999936,1,0.4,447
448,3035.8741,71.03200000000015,1,0.3333333333333333,448
449,3094.7782,22.09180000000015,1,0.6,449
450,3168.1739,56.75709999999981,1,0.6,450
451,3184.4696,25.6878999999999,1,0.6,451
452,3247.3971,45.764000000000124,1,0.6,452
453,3338.7047,-63.43560000000025,0,0.8,453
454,3520.1182,77.41260000000011,1,0.6,454
455,3749.7143,80.34400000000005,1,0.4,455
456,3657.579,-151.27070000000003,0,0.6,456
457,3745.005,46.51920000000018,1,0.6,457
458,3833.8013,-3.0899999999996908,0,0.6,458
459,3872.3412,143.9458999999997,1,0.4,459
460,4062.2309,40.07430000000022,1,0.75,460
461,3988.6168,-8.96100000000024,0,0.4,461
462,4120.6078,48.5324999999998,1,0.6,462
463,3889.2748,-52.54119999999966,0,0.2,463
464,3913.211,12.8770999999997,1,1.0,464
465,3730.4513,130.75120000000015,1,0.4,465
466,3648.7609,-95.20259999999962,0,0.4,466
467,3593.9139,9.949300000000221,1,0.4,467
468,3629.7893,-11.394000000000233,0,0.4,468
469,3564.6778,-32.427200000000084,0,0.25,469
470,3654.8799,-30.513400000000274,0,0.4,470
471,3833.9383,5.419999999999618,1,0.8,471
472,3825.5873,-9.229899999999816,0,0.4,472
473,3893.2025,20.10059999999976,1,0.6,473
474,3808.7311,23.510099999999966,1,0.2,474
475,3807.9551,39.55320000000029,1,0.4,475
476,3858.5688,7.502300000000105,1,0.8,476
477,3747.4379,-56.03150000000005,0,0.2,477
478,3633.5296,-35.764000000000124,0,0.2,478
479,3710.5386,16.53800000000001,1,0.8,479
480,3820.8638,27.357700000000023,1,0.6,480
481,3799.5863,9.399599999999737,1,0.4,481
482,3948.5075,23.1845000000003,1,1.0,482
483,3972.3799,42.279999999999745,1,0.5,483
484,3935.6511,11.268799999999828,1,0.6,484
485,3852.6534,11.514599999999973,1,0.4,485
486,3814.5282,-38.12519999999995,0,0.0,486
487,3911.7253,37.08620000000019,1,1.0,487
488,3869.3777,-55.84389999999985,0,0.4,488
489,3896.7923,26.124499999999898,1,0.6,489
490,3952.3872,65.63529999999992,1,0.4,490
491,3973.0107,-18.864199999999983,0,0.6,491
492,3877.0892,-28.76780000000008,0,0.4,492
493,3849.9948,-39.603200000000015,0,0.4,493
494,3828.6706,-33.632300000000214,0,0.4,494
495,3902.3853,23.021499999999833,1,0.8,495
496,3968.2211,77.19690000000037,1,0.6,496
497,4017.2527,-9.896799999999985,0,0.4,497
498,4022.0278,-3.9601000000002387,0,0.4,498
499,4144.9649,-7.275899999999638,0,0.75,499
500,4163.1849,-1.1847999999999956,0,0.4,500
501,4154.853,5.809600000000501,1,0.4,501
502,4003.9013,-128.0297999999998,0,0.5,502
503,3899.8693,0.09420000000000073,1,0.8,503
504,3987.7342,27.815399999999954,1,0.8,504
505,4149.4903,4.834200000000237,1,0.6,505
506,3940.0488,-144.82709999999997,0,0.2,506
507,4138.5072,-68.21789999999964,0,0.8,507
508,3895.3128,-55.598299999999654,0,0.2,508
509,3653.2239,64.13130000000001,1,0.2,509
510,3710.0605,12.013300000000072,1,0.6,510
511,3713.2183,-21.31230000000005,0,0.4,511
512,3769.1782,-23.632300000000214,0,0.5,512
513,3839.4871,37.10649999999987,1,0.6,513
514,3796.9721,-32.7804000000001,0,0.4,514
515,3912.5772,45.54520000000002,1,1.0,515
516,3963.6217,38.727100000000064,1,0.6666666666666666,516
517,3912.8159,-12.401800000000094,0,0.4,517
518,3824.064,-89.73090000000002,0,0.4,518
519,3867.0232,10.390800000000127,1,0.8,519
520,4001.2509,19.065799999999854,1,0.8,520
521,4003.0829,7.1983000000000175,1,0.6,521
522,4098.7095,54.32529999999997,1,0.8,522
523,4138.9895,17.19509999999991,1,1.0,523
524,4419.5955,83.7510000000002,1,0.8,524
525,4753.1333,-87.63789999999972,0,0.8,525
526,4544.7007,28.44750000000022,1,0.4,526
527,4505.5906,-206.84509999999955,0,0.6,527
528,4695.0462,38.89559999999983,1,0.8,528
529,4707.9262,-54.83799999999974,0,0.6,529
530,4704.6288,68.91620000000057,1,0.4,530
531,4718.8431,39.6886999999997,1,0.4,531
532,4844.2652,112.92010000000028,1,0.8,532
533,4770.219,-46.8761999999997,0,0.4,533
534,4627.2826,45.305099999999584,1,0.4,534
535,4737.0887,104.3744999999999,1,0.6,535
536,4570.0216,6.955899999999929,1,0.4,536
537,4587.3953,-4.403999999999542,0,0.6666666666666666,537
538,4681.1412,93.74589999999989,1,1.0,538
539,4791.676,-7.060099999999693,0,0.4,539
540,4718.4881,-59.496399999999994,0,0.2,540
541,4695.3338,-77.58599999999933,0,0.6,541
542,4885.7178,0.6060000000006767,1,1.0,542
543,4856.8513,-51.61169999999947,0,0.4,543
544,4943.2882,15.29910000000018,1,0.6,544
545,4980.765,61.17380000000048,1,0.6,545
546,5065.9163,8.855999999999767,1,0.6,546
547,4889.6292,-50.89570000000003,0,0.0,547
548,4999.9678,-17.510599999999613,0,0.8,548
549,5042.0137,41.9983000000002,1,0.6,549
550,5211.2885,97.57799999999952,1,0.75,550
551,5495.4306,-18.226200000000063,0,0.8,551
552,5458.0812,-12.375100000000202,0,0.2,552
553,5569.776,4.806700000000092,1,0.8,553
554,5351.9646,-25.178100000000086,0,0.4,554
555,5483.414,9.466499999999542,1,0.6,555
556,5807.7191,121.46889999999985,1,1.0,556
557,5778.842,10.460599999999431,1,0.5,557
558,5336.7609,-132.79749999999967,0,0.2,558
559,5262.7958,-17.909999999999854,0,0.4,559
560,5146.3786,18.162999999999556,1,0.6,560
561,5007.0907,-134.6774000000005,0,0.6,561
562,5037.9899,111.64300000000003,1,0.4,562
563,5161.5569,50.78009999999995,1,0.8,563
564,5035.3374,-76.87119999999959,0,0.25,564
565,4966.1811,17.206999999999425,1,0.4,565
566,5135.4534,46.209900000000744,1,0.6,566
567,5123.489,-40.680200000000696,0,0.6,567
568,4996.0527,-65.07169999999951,0,0.0,568
569,5110.5901,117.61630000000059,1,0.6,569
570,5134.1483,-52.263700000000426,0,0.6,570
571,5321.0886,-17.14429999999993,0,0.8,571
572,5282.2772,26.991700000000492,1,0.6,572
573,5224.703,-46.76309999999921,0,0.4,573
574,5102.4657,0.5733000000000175,1,0.5,574
575,5239.9684,83.99459999999999,1,0.8,575
576,5081.1172,-148.54700000000048,0,0.6,576
